run_id,phase,model,imgsz,seed,batch,lr0,aug,data_fraction,epochs_completed,map50,map50_95,map75,precision,recall,map50_B1,map50_B2,map50_B3,map50_B4,map50_95_B1,map50_95_B2,map50_95_B3,map50_95_B4,b2_b3_confusion,b3_b4_confusion,b4_precision,b4_recall,time_minutes,vram_gb,status
p0b_res1024_s0,0B,yolo11s.pt,1024,0,16,0.001,medium,1.0,,0.557578,0.264254,0.208765,0.521053,0.633668,0.822414,0.420993,0.586492,0.400414,0.438310,0.206475,0.262994,0.149237,,,0.442848,0.440433,,,ok
p0b_res640_s0,0B,yolo11s.pt,640,0,16,0.001,medium,1.0,,0.541649,0.252667,0.193974,0.501962,0.608713,0.814996,0.418150,0.568643,0.364806,0.424874,0.198980,0.254047,0.132768,,,0.420659,0.404992,,,ok
p0b_res640_s42,0B,yolo11s.pt,640,42,16,0.001,medium,1.0,,0.549605,0.259830,0.214847,0.501167,0.642793,0.821354,0.416349,0.584522,0.376194,0.437691,0.203286,0.261881,0.136463,,,0.432066,0.425993,,,ok
p1b_yolov8n_s0,1B,yolov8n.pt,640,0,16,0.001,medium,1.0,,0.539768,0.247909,0.192897,0.485996,0.631303,0.825926,0.408338,0.569017,0.355791,0.415358,0.194641,0.249684,0.131954,,,0.423063,0.370617,,,ok
p1b_yolov8n_s42,1B,yolov8n.pt,640,42,16,0.001,medium,1.0,,0.540523,0.249271,0.189960,0.486669,0.643079,0.808753,0.424025,0.573958,0.355358,0.409813,0.205093,0.253231,0.128947,,,0.382069,0.471119,,,ok
p1b_yolov8s_s0,1B,yolov8s.pt,640,0,16,0.001,medium,1.0,,0.544732,0.251826,0.193697,0.507658,0.622496,0.830656,0.409415,0.567889,0.370969,0.425288,0.193516,0.250172,0.138330,,,0.421785,0.440433,,,ok
p1b_yolov8s_s42,1B,yolov8s.pt,640,42,16,0.001,medium,1.0,,0.546351,0.258632,0.212122,0.506729,0.619263,0.826245,0.425298,0.569870,0.363990,0.422127,0.209973,0.257718,0.144709,,,0.436699,0.368231,,,ok
p0b_res1024_s42,0B,yolo11s.pt,1024,42,16,0.001,medium,1.0,,0.557617,0.264785,0.210613,0.518947,0.634327,0.838644,0.428513,0.586806,0.376507,0.438782,0.210796,0.265699,0.143861,,,0.434151,0.449458,29.5,9.7,ok
p0c_frac25_s0,0C,yolo11s.pt,640,0,16,0.001,medium,0.25,,,,,,,,,,,,,,,,,,,,,fail
p0c_frac25_s42,0C,yolo11s.pt,640,42,16,0.001,medium,0.25,,,,,,,,,,,,,,,,,,,,,fail
p0c_frac50_s0,0C,yolo11s.pt,640,0,16,0.001,medium,0.5,,,,,,,,,,,,,,,,,,,,,fail
p0c_frac50_s42,0C,yolo11s.pt,640,42,16,0.001,medium,0.5,,,,,,,,,,,,,,,,,,,,,fail
p0c_frac75_s0,0C,yolo11s.pt,640,0,16,0.001,medium,0.75,,,,,,,,,,,,,,,,,,,,,fail
p0c_frac75_s42,0C,yolo11s.pt,640,42,16,0.001,medium,0.75,,,,,,,,,,,,,,,,,,,,,fail
p0c_frac100_s0,0C,yolo11s.pt,640,0,16,0.001,medium,1.0,,0.541649,0.252667,0.193974,0.501962,0.608713,0.814996,0.418150,0.568643,0.364806,0.424874,0.198980,0.254047,0.132768,,,0.420659,0.404992,14.1,4.0,ok
p0c_frac100_s42,0C,yolo11s.pt,640,42,16,0.001,medium,1.0,,0.549605,0.259830,0.214847,0.501167,0.642793,0.821354,0.416349,0.584522,0.376194,0.437691,0.203286,0.261881,0.136463,,,0.432066,0.425993,14.1,4.0,ok
p1b_yolov10n_s0,1B,yolov10n.pt,640,0,16,0.001,medium,1.0,,0.492079,0.236872,0.201749,0.464413,0.550775,0.767001,0.375096,0.522029,0.304188,0.405354,0.191159,0.234003,0.116974,,,0.375419,0.348375,13.3,2.6,ok
p1b_yolov10n_s42,1B,yolov10n.pt,640,42,16,0.001,medium,1.0,,0.490359,0.237766,0.200064,0.450271,0.566818,0.776165,0.382698,0.514018,0.288555,0.417652,0.189451,0.234139,0.109821,,,0.350612,0.361011,13.2,2.6,ok
p1b_yolov10s_s0,1B,yolov10s.pt,640,0,16,0.001,medium,1.0,,0.512164,0.244611,0.202261,0.467736,0.567350,0.776438,0.399722,0.549297,0.323200,0.405522,0.196310,0.247908,0.128703,,,0.431482,0.312274,18.2,4.7,ok
p1b_yolov10s_s42,1B,yolov10s.pt,640,42,16,0.001,medium,1.0,,0.502957,0.245136,0.205221,0.454387,0.570518,0.776649,0.377001,0.547099,0.311081,0.419703,0.192757,0.245402,0.122682,,,0.431106,0.256318,18.0,4.7,ok
p1b_yolo11n_s0,1B,yolo11n.pt,640,0,16,0.001,medium,1.0,,0.540962,0.253667,0.204424,0.494243,0.627176,0.804271,0.416220,0.576766,0.366592,0.425614,0.201239,0.257305,0.130512,,,0.425828,0.405626,10.8,2.2,ok
p1b_yolo11n_s42,1B,yolo11n.pt,640,42,16,0.001,medium,1.0,,0.544031,0.254948,0.209946,0.506190,0.628081,0.802434,0.414613,0.574163,0.384916,0.421794,0.201165,0.256308,0.140524,,,0.448207,0.456679,10.9,2.2,ok
p1b_yolo11s_s0,1B,yolo11s.pt,640,0,16,0.001,medium,1.0,,0.541649,0.252667,0.193974,0.501962,0.608713,0.814996,0.418150,0.568643,0.364806,0.424874,0.198980,0.254047,0.132768,,,0.420659,0.404992,14.1,4.0,ok
p1b_yolo11s_s42,1B,yolo11s.pt,640,42,16,0.001,medium,1.0,,0.549605,0.259830,0.214847,0.501167,0.642793,0.821354,0.416349,0.584522,0.376194,0.437691,0.203286,0.261881,0.136463,,,0.432066,0.425993,14.2,4.0,ok
p3_final_yolo11s_s0,3,yolo11s.pt,1024,0,16,0.001,medium,1.0,,0.557578,0.264254,0.208765,0.521053,0.633668,0.822414,0.420993,0.586492,0.400414,0.438310,0.206475,0.262994,0.149237,,,0.442848,0.440433,29.9,9.7,ok
p3_final_yolo11s_s42,3,yolo11s.pt,1024,42,16,0.001,medium,1.0,,0.557617,0.264785,0.210613,0.518947,0.634327,0.838644,0.428513,0.586806,0.376507,0.438782,0.210796,0.265699,0.143861,,,0.434151,0.449458,29.4,9.6,ok
