epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.175,1.97476,2.43737,1.75794,0.30779,0.48114,0.33534,0.14339,1.94104,3.08195,1.80161,0.000331407,0.000331407,0.0671908
2,178.301,1.83481,1.87529,1.65775,0.39772,0.50751,0.42203,0.18197,2.01032,1.8867,1.7927,0.000663726,0.000663726,0.0341897
3,253.876,1.80862,1.81767,1.64991,0.42579,0.5362,0.44918,0.19674,1.96983,1.81267,1.7688,0.000991991,0.000991991,0.00118467
4,327.2,1.8174,1.79772,1.65763,0.44863,0.54318,0.45115,0.20301,1.95822,1.78703,1.75183,0.000986323,0.000986323,0.000986323
5,401.054,1.79884,1.78816,1.66917,0.42978,0.56155,0.42875,0.18387,1.96756,1.80548,1.76812,0.000975773,0.000975773,0.000975773
6,475.932,1.77027,1.72708,1.64262,0.44288,0.56976,0.47902,0.21411,1.95895,1.69381,1.73419,0.00096232,0.00096232,0.00096232
7,548.314,1.7515,1.7057,1.62901,0.47157,0.59833,0.5044,0.22485,1.93582,1.64027,1.7294,0.000946048,0.000946048,0.000946048
8,624.567,1.75305,1.70319,1.62317,0.47007,0.56047,0.48245,0.21628,1.91051,1.65587,1.70934,0.000927057,0.000927057,0.000927057
9,696.448,1.73944,1.67283,1.61959,0.44153,0.60099,0.48335,0.22386,1.87422,1.64312,1.66467,0.000905463,0.000905463,0.000905463
10,773.76,1.72651,1.64953,1.60807,0.48475,0.58319,0.50641,0.23347,1.92035,1.60443,1.71261,0.000881401,0.000881401,0.000881401
11,846.038,1.71067,1.65127,1.6048,0.49697,0.59664,0.51517,0.24085,1.85048,1.58175,1.67445,0.000855018,0.000855018,0.000855018
12,922.97,1.71211,1.63142,1.59553,0.48095,0.58909,0.50647,0.23595,1.86856,1.60473,1.67121,0.000826477,0.000826477,0.000826477
13,990.748,1.70297,1.61818,1.59179,0.47138,0.60943,0.5149,0.23959,1.88602,1.57267,1.67958,0.000795954,0.000795954,0.000795954
14,1058.14,1.69897,1.5903,1.5939,0.46976,0.59152,0.51259,0.24272,1.85603,1.58635,1.68235,0.000763637,0.000763637,0.000763637
15,1132.87,1.67807,1.58907,1.57635,0.47503,0.62199,0.5252,0.24548,1.8795,1.53784,1.6996,0.000729725,0.000729725,0.000729725
16,1205.17,1.67318,1.56154,1.57411,0.4677,0.58982,0.50984,0.23869,1.84932,1.56447,1.66166,0.000694428,0.000694428,0.000694428
