epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.131,2.14867,2.46656,1.81833,0.28177,0.47775,0.2871,0.10594,2.11347,2.46165,1.90045,0.000329457,0.000329457,0.0673837
2,24.3205,1.91462,1.90946,1.61825,0.34807,0.48237,0.35242,0.1492,2.05812,2.79694,1.75999,0.000661779,0.000661779,0.0343827
3,35.863,1.914,1.85093,1.57432,0.36867,0.53156,0.39083,0.16098,2.01749,2.01993,1.71568,0.000990053,0.000990053,0.00137765
4,47.4486,1.85707,1.78983,1.54935,0.4081,0.48744,0.39225,0.16927,2.01853,1.81164,1.63849,0.000986323,0.000986323,0.000986323
5,58.8418,1.8671,1.73928,1.52698,0.37247,0.56551,0.44055,0.19127,2.02468,1.73089,1.64522,0.000975773,0.000975773,0.000975773
6,70.4739,1.83799,1.72927,1.5047,0.39177,0.54174,0.41898,0.18197,2.00285,1.74738,1.65335,0.00096232,0.00096232,0.00096232
7,81.7357,1.82526,1.68011,1.49891,0.41939,0.55402,0.4595,0.20404,1.97944,1.705,1.6419,0.000946048,0.000946048,0.000946048
8,93.443,1.83547,1.68007,1.50146,0.4237,0.54955,0.45034,0.19544,2.00384,1.7361,1.61043,0.000927057,0.000927057,0.000927057
9,104.886,1.79477,1.64636,1.48109,0.43055,0.53191,0.44119,0.19848,1.94636,1.68734,1.58758,0.000905463,0.000905463,0.000905463
10,116.344,1.77183,1.62597,1.47189,0.4305,0.54523,0.45364,0.19767,1.94757,1.69246,1.57691,0.000881401,0.000881401,0.000881401
11,127.805,1.79198,1.62964,1.45341,0.42781,0.54411,0.46818,0.20336,2.02622,1.65511,1.61153,0.000855018,0.000855018,0.000855018
12,139.163,1.8078,1.62176,1.47597,0.44694,0.59626,0.47434,0.21471,1.96017,1.61491,1.58361,0.000826477,0.000826477,0.000826477
13,150.701,1.77937,1.61527,1.45976,0.45273,0.56665,0.4668,0.21279,1.97126,1.64376,1.56781,0.000795954,0.000795954,0.000795954
14,161.978,1.74833,1.56322,1.44632,0.44883,0.57083,0.48803,0.22243,1.92155,1.60738,1.55934,0.000763637,0.000763637,0.000763637
15,173.591,1.75106,1.58343,1.4379,0.44512,0.57638,0.46534,0.20812,1.92672,1.67191,1.575,0.000729725,0.000729725,0.000729725
16,184.832,1.73137,1.58395,1.43462,0.44584,0.57281,0.48293,0.21553,1.97254,1.61456,1.6075,0.000694428,0.000694428,0.000694428
17,196.305,1.74337,1.53937,1.43443,0.47025,0.56178,0.48132,0.21329,1.95037,1.66387,1.59313,0.000657963,0.000657963,0.000657963
18,207.619,1.7525,1.54265,1.42595,0.43076,0.57124,0.47968,0.21577,1.92897,1.60625,1.57166,0.000620555,0.000620555,0.000620555
19,218.96,1.71979,1.52962,1.4213,0.47002,0.57376,0.4956,0.22278,1.94907,1.58176,1.56883,0.000582435,0.000582435,0.000582435
20,230.741,1.69524,1.51589,1.40849,0.47582,0.57558,0.48643,0.22397,1.96147,1.57951,1.55767,0.000543837,0.000543837,0.000543837
21,242.213,1.70086,1.50241,1.40697,0.46519,0.56295,0.47565,0.22014,1.92408,1.612,1.54841,0.000505,0.000505,0.000505
22,253.519,1.68265,1.46982,1.39935,0.45811,0.595,0.49466,0.22352,1.93341,1.58456,1.54508,0.000466163,0.000466163,0.000466163
23,264.802,1.69333,1.47717,1.39269,0.48439,0.60038,0.50492,0.22635,1.95082,1.55802,1.5873,0.000427565,0.000427565,0.000427565
24,276.592,1.68102,1.45826,1.38924,0.44652,0.59302,0.47789,0.21831,1.94062,1.58828,1.55224,0.000389445,0.000389445,0.000389445
25,288.024,1.65912,1.45404,1.3806,0.46807,0.58812,0.49892,0.22565,1.95148,1.55734,1.58703,0.000352037,0.000352037,0.000352037
26,299.28,1.66545,1.44257,1.38859,0.47218,0.58793,0.50172,0.23308,1.89449,1.54301,1.53152,0.000315572,0.000315572,0.000315572
27,311.009,1.66183,1.43262,1.38318,0.47785,0.59814,0.5094,0.23513,1.9206,1.52192,1.53718,0.000280275,0.000280275,0.000280275
