epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.239,2.08884,2.60617,1.74971,0.32661,0.375,0.24537,0.1025,2.10475,2.31717,1.73908,0.000331407,0.000331407,0.0671908
2,35.1322,1.92502,1.99644,1.55408,0.33625,0.4189,0.31592,0.11211,2.06614,2.71733,1.76459,0.000663726,0.000663726,0.0341897
3,51.6093,1.87613,1.86397,1.51593,0.4147,0.53087,0.43373,0.18166,1.96432,1.82411,1.59924,0.000991991,0.000991991,0.00118467
4,67.4256,1.86492,1.80532,1.49083,0.38853,0.53954,0.39994,0.16226,2.04835,1.80135,1.60842,0.000986323,0.000986323,0.000986323
5,83.4259,1.84192,1.79025,1.48933,0.42843,0.55225,0.44347,0.19175,1.96969,1.79732,1.57588,0.000975773,0.000975773,0.000975773
6,99.5901,1.82172,1.73962,1.46767,0.41937,0.54018,0.45849,0.20178,1.94935,1.7573,1.52677,0.00096232,0.00096232,0.00096232
7,116.085,1.80336,1.73544,1.44541,0.46982,0.54835,0.46317,0.19182,2.03623,1.76761,1.60209,0.000946048,0.000946048,0.000946048
8,131.661,1.81162,1.72325,1.44102,0.39756,0.56834,0.44504,0.1976,1.99738,1.70578,1.54094,0.000927057,0.000927057,0.000927057
9,147.615,1.79169,1.67831,1.4311,0.43673,0.56845,0.47551,0.21218,1.97366,1.67476,1.52625,0.000905463,0.000905463,0.000905463
10,163.556,1.78477,1.66117,1.42472,0.46143,0.58065,0.4907,0.22262,1.92989,1.61775,1.47698,0.000881401,0.000881401,0.000881401
11,179.377,1.77283,1.6572,1.4203,0.44719,0.55667,0.47432,0.21184,1.95531,1.64246,1.52865,0.000855018,0.000855018,0.000855018
12,195.158,1.78101,1.63798,1.40893,0.43721,0.5834,0.48601,0.21222,1.98348,1.68834,1.55856,0.000826477,0.000826477,0.000826477
13,211.151,1.77216,1.62425,1.41239,0.47648,0.60076,0.50622,0.22843,1.9089,1.60595,1.48369,0.000795954,0.000795954,0.000795954
14,226.454,1.75878,1.60327,1.40656,0.46606,0.52065,0.46288,0.20332,1.9439,1.69414,1.50863,0.000763637,0.000763637,0.000763637
15,241.804,1.74585,1.59964,1.39672,0.48213,0.57879,0.50968,0.2337,1.91405,1.59008,1.47547,0.000729725,0.000729725,0.000729725
16,257.842,1.73868,1.59391,1.38913,0.46625,0.58386,0.49983,0.21656,1.94892,1.60088,1.50354,0.000694428,0.000694428,0.000694428
17,273.808,1.73342,1.58648,1.38729,0.48847,0.58916,0.51467,0.23693,1.89301,1.57965,1.45981,0.000657963,0.000657963,0.000657963
18,289.901,1.73649,1.5679,1.39196,0.46276,0.5823,0.51052,0.23725,1.89451,1.55108,1.45887,0.000620555,0.000620555,0.000620555
19,305.784,1.71973,1.55715,1.37515,0.49751,0.58172,0.5221,0.24031,1.90957,1.54829,1.47274,0.000582435,0.000582435,0.000582435
20,321.933,1.72089,1.55615,1.37646,0.46227,0.588,0.49035,0.22173,1.89758,1.58921,1.48057,0.000543837,0.000543837,0.000543837
21,338.214,1.71501,1.5475,1.36427,0.48366,0.57203,0.50787,0.23605,1.8904,1.57617,1.45567,0.000505,0.000505,0.000505
22,354.187,1.71167,1.53384,1.36629,0.50491,0.60224,0.53229,0.25003,1.88828,1.52275,1.43953,0.000466163,0.000466163,0.000466163
23,370.382,1.70202,1.52468,1.35631,0.48784,0.55968,0.49819,0.23783,1.88102,1.5922,1.45425,0.000427565,0.000427565,0.000427565
24,386.855,1.70009,1.52274,1.35197,0.47583,0.5786,0.51378,0.23898,1.90789,1.55306,1.47001,0.000389445,0.000389445,0.000389445
25,402.587,1.69757,1.50657,1.36218,0.49476,0.58081,0.51522,0.23672,1.92188,1.53991,1.47977,0.000352037,0.000352037,0.000352037
26,418.367,1.68845,1.51595,1.35927,0.49046,0.58166,0.51557,0.24638,1.852,1.53909,1.44329,0.000315572,0.000315572,0.000315572
27,434.584,1.6882,1.50278,1.36007,0.4983,0.585,0.52282,0.24771,1.87388,1.51746,1.45285,0.000280275,0.000280275,0.000280275
28,450.447,1.67645,1.49579,1.34547,0.49832,0.58329,0.51548,0.24695,1.8642,1.56079,1.43044,0.000246363,0.000246363,0.000246363
29,466.184,1.66848,1.48749,1.34724,0.50961,0.58849,0.53305,0.25166,1.87853,1.50976,1.44295,0.000214046,0.000214046,0.000214046
30,481.911,1.67806,1.47421,1.34798,0.48635,0.60019,0.52553,0.25321,1.86174,1.50867,1.44179,0.000183523,0.000183523,0.000183523
31,499.824,1.66004,1.46119,1.37808,0.49123,0.58024,0.52346,0.2459,1.87681,1.52372,1.45509,0.000154982,0.000154982,0.000154982
32,516.687,1.65044,1.45129,1.37853,0.5138,0.58548,0.53049,0.25199,1.85239,1.52082,1.43396,0.000128599,0.000128599,0.000128599
33,532.92,1.64552,1.4378,1.37637,0.50929,0.59109,0.53155,0.25415,1.86632,1.49712,1.45046,0.000104537,0.000104537,0.000104537
34,548.68,1.64188,1.42629,1.37693,0.5216,0.58418,0.52815,0.25061,1.86907,1.49664,1.44395,8.29431e-05,8.29431e-05,8.29431e-05
35,564.61,1.63426,1.42018,1.37506,0.52099,0.58612,0.52968,0.25074,1.85169,1.50611,1.43809,6.39518e-05,6.39518e-05,6.39518e-05
36,579.65,1.6299,1.41691,1.37099,0.52815,0.5809,0.53004,0.25063,1.86284,1.51066,1.44536,4.76796e-05,4.76796e-05,4.76796e-05
