epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7514,1.99908,2.20604,1.57054,0.32196,0.52221,0.37339,0.14597,2.03851,2.43644,1.61401,0.000331407,0.000331407,0.0671908
2,44.3268,1.87521,1.81077,1.46567,0.35236,0.50447,0.37627,0.14907,2.09414,2.01082,1.67374,0.000663726,0.000663726,0.0341897
3,65.6798,1.8466,1.73554,1.45168,0.40517,0.53507,0.44619,0.19275,2.03147,1.76531,1.55265,0.000991991,0.000991991,0.00118467
4,86.8739,1.83026,1.71986,1.43399,0.44599,0.542,0.42377,0.17951,2.04841,1.81369,1.5695,0.000986323,0.000986323,0.000986323
5,108,1.82126,1.71573,1.44399,0.45475,0.55513,0.45955,0.19678,2.0303,1.70985,1.52378,0.000975773,0.000975773,0.000975773
6,129.102,1.79267,1.66073,1.42386,0.38946,0.58327,0.48353,0.2176,1.9234,1.74559,1.48221,0.00096232,0.00096232,0.00096232
7,150.12,1.78684,1.64747,1.41148,0.4697,0.56514,0.46954,0.20987,1.97126,1.6061,1.5026,0.000946048,0.000946048,0.000946048
8,171.153,1.78455,1.6356,1.41101,0.45418,0.57334,0.48518,0.20933,1.97061,1.65385,1.48135,0.000927057,0.000927057,0.000927057
9,192.16,1.7683,1.60446,1.40334,0.48477,0.53539,0.49711,0.21613,2.01664,1.61672,1.53235,0.000905463,0.000905463,0.000905463
10,213.013,1.75367,1.5945,1.3972,0.44432,0.61777,0.49341,0.22536,1.90965,1.60011,1.47315,0.000881401,0.000881401,0.000881401
11,233.72,1.74305,1.57659,1.39169,0.42952,0.5713,0.4826,0.21992,1.89756,1.62092,1.46217,0.000855018,0.000855018,0.000855018
12,254.712,1.75124,1.5757,1.38473,0.45609,0.55309,0.49017,0.22479,1.90014,1.63684,1.44551,0.000826477,0.000826477,0.000826477
13,275.4,1.73704,1.54814,1.37305,0.48707,0.5875,0.50679,0.23481,1.90218,1.54373,1.44753,0.000795954,0.000795954,0.000795954
14,296.192,1.72878,1.53352,1.37826,0.45843,0.55939,0.48144,0.22451,1.90074,1.58569,1.44507,0.000763637,0.000763637,0.000763637
15,316.781,1.71297,1.52243,1.37173,0.49294,0.58118,0.51325,0.23758,1.88894,1.55394,1.44856,0.000729725,0.000729725,0.000729725
16,337.388,1.7018,1.52012,1.36228,0.48797,0.58961,0.51222,0.23683,1.91385,1.54461,1.47101,0.000694428,0.000694428,0.000694428
17,358.061,1.70452,1.51966,1.36343,0.48037,0.56395,0.50644,0.24166,1.87633,1.53248,1.43523,0.000657963,0.000657963,0.000657963
18,378.739,1.6995,1.50236,1.36097,0.46691,0.54819,0.49695,0.23154,1.88902,1.57533,1.43702,0.000620555,0.000620555,0.000620555
19,399.324,1.67916,1.47787,1.34642,0.51373,0.58703,0.52591,0.24447,1.87857,1.51509,1.44401,0.000582435,0.000582435,0.000582435
20,420.255,1.68636,1.48309,1.35013,0.47759,0.58273,0.50865,0.24256,1.85823,1.54867,1.43362,0.000543837,0.000543837,0.000543837
21,441.168,1.67402,1.48065,1.33588,0.49973,0.57835,0.52414,0.24736,1.87295,1.53363,1.43756,0.000505,0.000505,0.000505
22,461.652,1.67596,1.45394,1.3441,0.48821,0.60449,0.52714,0.24808,1.88217,1.48329,1.43604,0.000466163,0.000466163,0.000466163
23,482.754,1.66584,1.44301,1.33539,0.4832,0.58713,0.52473,0.24983,1.86464,1.51524,1.43068,0.000427565,0.000427565,0.000427565
24,503.55,1.66165,1.44006,1.33029,0.46727,0.58867,0.51594,0.24424,1.86423,1.52183,1.42893,0.000389445,0.000389445,0.000389445
25,524.198,1.66054,1.43495,1.33684,0.4699,0.57689,0.50083,0.23578,1.88351,1.54184,1.44293,0.000352037,0.000352037,0.000352037
26,544.867,1.64591,1.43626,1.32973,0.49343,0.57662,0.52478,0.25136,1.84609,1.52402,1.42082,0.000315572,0.000315572,0.000315572
27,566.038,1.64421,1.4216,1.32952,0.49819,0.58894,0.51758,0.24017,1.87088,1.51776,1.43874,0.000280275,0.000280275,0.000280275
28,587.089,1.63495,1.41145,1.31768,0.49484,0.56833,0.51132,0.24159,1.88048,1.53177,1.42619,0.000246363,0.000246363,0.000246363
