epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8383,1.89547,3.10735,1.5824,0.26447,0.28212,0.20055,0.08323,1.83062,2.66379,1.54482,0.000331407,0.000331407,0.0671908
2,61.219,1.79336,2.44254,1.51013,0.27353,0.37802,0.24643,0.0885,1.96708,2.38062,1.71527,0.000663726,0.000663726,0.0341897
3,80.0128,1.79371,2.2519,1.5198,0.25679,0.4771,0.30094,0.12768,1.85133,2.18661,1.65827,0.000991991,0.000991991,0.00118467
4,99.018,1.79243,2.17821,1.50278,0.34577,0.4688,0.34236,0.1471,1.86225,2.06852,1.63532,0.000986323,0.000986323,0.000986323
5,118.028,1.78582,2.12544,1.49094,0.33568,0.44266,0.3189,0.13398,1.98653,2.08701,1.63828,0.000975773,0.000975773,0.000975773
6,136.245,1.78443,2.06397,1.49791,0.34274,0.47997,0.36873,0.15722,1.89439,1.98095,1.62837,0.00096232,0.00096232,0.00096232
7,154.924,1.75305,2.03264,1.47936,0.37564,0.49576,0.36556,0.15225,1.92467,1.92695,1.66037,0.000946048,0.000946048,0.000946048
8,173.354,1.77439,1.99822,1.48503,0.374,0.51479,0.39133,0.16534,1.88724,1.93285,1.64481,0.000927057,0.000927057,0.000927057
9,192.772,1.76173,1.9586,1.47756,0.39272,0.50686,0.41676,0.18593,1.90307,1.85066,1.64069,0.000905463,0.000905463,0.000905463
10,211.818,1.75585,1.92417,1.47613,0.38092,0.53866,0.42266,0.1937,1.84392,1.81292,1.59314,0.000881401,0.000881401,0.000881401
11,230.681,1.74697,1.91917,1.47354,0.38887,0.53245,0.42067,0.1917,1.85216,1.81749,1.60113,0.000855018,0.000855018,0.000855018
12,249.552,1.75016,1.9085,1.46852,0.42142,0.54148,0.42923,0.18976,1.89941,1.88772,1.68167,0.000826477,0.000826477,0.000826477
13,268.437,1.7453,1.88524,1.4811,0.40416,0.54675,0.4338,0.19998,1.82774,1.82257,1.59128,0.000795954,0.000795954,0.000795954
14,287.207,1.73197,1.85275,1.46682,0.40721,0.51267,0.4188,0.19027,1.83319,1.81443,1.6015,0.000763637,0.000763637,0.000763637
15,306.018,1.71719,1.83774,1.45673,0.39034,0.53103,0.42479,0.19798,1.83302,1.82464,1.61771,0.000729725,0.000729725,0.000729725
16,324.821,1.71055,1.8393,1.45454,0.43078,0.52319,0.44693,0.20318,1.82836,1.77108,1.59337,0.000694428,0.000694428,0.000694428
17,343.271,1.71034,1.81481,1.451,0.4332,0.54457,0.45043,0.20505,1.87646,1.70613,1.63729,0.000657963,0.000657963,0.000657963
18,361.879,1.71335,1.80913,1.46635,0.42849,0.53898,0.44544,0.20869,1.81718,1.77193,1.59923,0.000620555,0.000620555,0.000620555
19,380.871,1.70626,1.77334,1.45871,0.42842,0.57381,0.45603,0.21291,1.82979,1.69803,1.60364,0.000582435,0.000582435,0.000582435
20,399.787,1.71048,1.76293,1.45088,0.44454,0.53892,0.45655,0.20673,1.87509,1.70219,1.60867,0.000543837,0.000543837,0.000543837
21,418.239,1.70899,1.75566,1.44256,0.41988,0.53512,0.44364,0.20847,1.82565,1.77446,1.6012,0.000505,0.000505,0.000505
22,436.967,1.70803,1.74044,1.45931,0.43895,0.54682,0.45455,0.21208,1.81802,1.70363,1.59042,0.000466163,0.000466163,0.000466163
23,455.672,1.69435,1.72734,1.437,0.42849,0.52647,0.45085,0.21388,1.81243,1.74288,1.58524,0.000427565,0.000427565,0.000427565
24,474.373,1.68903,1.72092,1.43041,0.42932,0.53363,0.46576,0.22241,1.8098,1.71379,1.58075,0.000389445,0.000389445,0.000389445
25,492.978,1.67912,1.72273,1.42746,0.44404,0.56305,0.46732,0.21533,1.83006,1.72113,1.59494,0.000352037,0.000352037,0.000352037
26,511.699,1.67072,1.72126,1.42785,0.4374,0.55321,0.47924,0.22846,1.79138,1.69866,1.57234,0.000315572,0.000315572,0.000315572
27,530.619,1.66951,1.69832,1.4304,0.44382,0.5534,0.47314,0.22725,1.8054,1.66983,1.57593,0.000280275,0.000280275,0.000280275
28,549.161,1.65837,1.68229,1.41591,0.46515,0.5509,0.47842,0.22692,1.80826,1.67976,1.56432,0.000246363,0.000246363,0.000246363
29,567.814,1.66367,1.66212,1.41968,0.463,0.55006,0.49319,0.23505,1.8191,1.66326,1.56037,0.000214046,0.000214046,0.000214046
30,586.684,1.66136,1.66386,1.41879,0.44583,0.5505,0.48642,0.23328,1.78878,1.68792,1.56075,0.000183523,0.000183523,0.000183523
31,606.133,1.63849,1.57483,1.46801,0.46726,0.54896,0.4918,0.23652,1.80609,1.66571,1.56853,0.000154982,0.000154982,0.000154982
32,625.127,1.61935,1.56931,1.45433,0.45767,0.55675,0.48766,0.23249,1.78777,1.67394,1.55956,0.000128599,0.000128599,0.000128599
33,644.027,1.61066,1.54826,1.4457,0.46152,0.5627,0.49363,0.23361,1.81396,1.66216,1.57153,0.000104537,0.000104537,0.000104537
34,662.935,1.61506,1.52198,1.44361,0.46203,0.54692,0.48643,0.22942,1.82803,1.67243,1.57737,8.29431e-05,8.29431e-05,8.29431e-05
35,681.918,1.60991,1.51368,1.45133,0.46273,0.56683,0.49236,0.23364,1.80738,1.64766,1.56722,6.39518e-05,6.39518e-05,6.39518e-05
36,701.095,1.61038,1.51173,1.44745,0.47186,0.55873,0.49285,0.2323,1.81122,1.6637,1.57133,4.76796e-05,4.76796e-05,4.76796e-05
37,720.15,1.60489,1.51068,1.44634,0.46855,0.56004,0.49315,0.2343,1.80452,1.65076,1.56539,3.4227e-05,3.4227e-05,3.4227e-05
38,739.297,1.60337,1.51005,1.43687,0.46793,0.56003,0.49618,0.2347,1.80153,1.64389,1.5623,2.36769e-05,2.36769e-05,2.36769e-05
39,758.69,1.59897,1.50351,1.44293,0.46866,0.56062,0.49341,0.23416,1.80809,1.64997,1.56537,1.60943e-05,1.60943e-05,1.60943e-05
40,777.766,1.5952,1.50724,1.43211,0.46204,0.5569,0.49335,0.23482,1.80654,1.64962,1.56364,1.15259e-05,1.15259e-05,1.15259e-05
