epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.7117,1.91684,2.87311,1.55556,0.353,0.4917,0.36123,0.1497,1.89621,2.59244,1.57733,0.000331407,0.000331407,0.0671908
2,69.0311,1.85498,2.10724,1.44547,0.36213,0.50997,0.38635,0.15646,1.96901,2.19347,1.62537,0.000663726,0.000663726,0.0341897
3,95.6383,1.87231,1.99817,1.46271,0.36513,0.48913,0.37824,0.16269,1.91105,2.24525,1.5538,0.000991991,0.000991991,0.00118467
4,121.799,1.84834,1.9931,1.4528,0.3651,0.53921,0.39766,0.1688,1.97345,2.04866,1.58185,0.000986323,0.000986323,0.000986323
5,148.036,1.82275,1.94744,1.43623,0.41569,0.51709,0.40888,0.1785,1.95778,1.85263,1.53256,0.000975773,0.000975773,0.000975773
6,174.462,1.80958,1.88277,1.42256,0.40633,0.53077,0.44557,0.19633,1.89453,1.83237,1.47899,0.00096232,0.00096232,0.00096232
7,200.907,1.8014,1.8594,1.41082,0.44119,0.55096,0.4434,0.19136,1.95489,1.71822,1.5437,0.000946048,0.000946048,0.000946048
8,226.946,1.79867,1.85844,1.40611,0.40508,0.54734,0.44675,0.1956,1.90326,1.80188,1.46717,0.000927057,0.000927057,0.000927057
9,253.108,1.78976,1.81028,1.40849,0.41751,0.55484,0.4512,0.20011,1.92464,1.71267,1.53971,0.000905463,0.000905463,0.000905463
10,279.48,1.77315,1.7948,1.40085,0.4375,0.56581,0.45855,0.20971,1.88222,1.69135,1.48545,0.000881401,0.000881401,0.000881401
11,305.948,1.75802,1.78166,1.391,0.40176,0.55978,0.4549,0.21099,1.86985,1.75995,1.46492,0.000855018,0.000855018,0.000855018
12,333.215,1.76825,1.77168,1.385,0.45139,0.57433,0.47481,0.21115,1.94581,1.7191,1.50206,0.000826477,0.000826477,0.000826477
13,360.306,1.74711,1.76793,1.36631,0.43003,0.57927,0.48013,0.21314,1.95417,1.66336,1.51729,0.000795954,0.000795954,0.000795954
14,386.776,1.75512,1.7061,1.39222,0.42001,0.55533,0.45152,0.20743,1.87274,1.71234,1.46882,0.000763637,0.000763637,0.000763637
15,413.86,1.72928,1.70801,1.36455,0.43627,0.56097,0.47125,0.21476,1.89236,1.66497,1.48755,0.000729725,0.000729725,0.000729725
16,440.395,1.73335,1.69638,1.36599,0.45908,0.57162,0.49115,0.22347,1.92054,1.63094,1.49507,0.000694428,0.000694428,0.000694428
17,466.68,1.71545,1.68885,1.36683,0.44828,0.58296,0.49085,0.22974,1.88552,1.62202,1.43927,0.000657963,0.000657963,0.000657963
18,493.118,1.71313,1.68101,1.35295,0.43825,0.53298,0.46008,0.2107,1.89901,1.66642,1.48182,0.000620555,0.000620555,0.000620555
19,519.277,1.69703,1.65137,1.3519,0.46286,0.5831,0.49313,0.23101,1.85781,1.62143,1.45727,0.000582435,0.000582435,0.000582435
20,545.833,1.69743,1.65824,1.35034,0.45729,0.57498,0.49345,0.22374,1.87845,1.64772,1.47835,0.000543837,0.000543837,0.000543837
21,572.44,1.69801,1.63325,1.33945,0.44333,0.57512,0.49322,0.22555,1.89448,1.64739,1.49426,0.000505,0.000505,0.000505
22,598.999,1.67967,1.63662,1.34539,0.47105,0.56144,0.49274,0.22814,1.88076,1.6487,1.47217,0.000466163,0.000466163,0.000466163
23,625.841,1.67523,1.61354,1.33997,0.4572,0.55771,0.49054,0.22787,1.86114,1.6387,1.47914,0.000427565,0.000427565,0.000427565
24,652.139,1.6698,1.60115,1.32702,0.45475,0.55106,0.4845,0.2294,1.84945,1.63535,1.46128,0.000389445,0.000389445,0.000389445
25,678.354,1.66272,1.58209,1.33859,0.46514,0.55761,0.4886,0.23013,1.87365,1.60967,1.46655,0.000352037,0.000352037,0.000352037
26,704.537,1.65606,1.57985,1.32531,0.4653,0.56443,0.49824,0.23652,1.83426,1.61555,1.44987,0.000315572,0.000315572,0.000315572
27,730.821,1.64629,1.56695,1.32569,0.45725,0.58586,0.50059,0.23442,1.87504,1.58424,1.4728,0.000280275,0.000280275,0.000280275
28,756.945,1.64161,1.55749,1.31143,0.47073,0.56402,0.49789,0.23926,1.85184,1.60033,1.4299,0.000246363,0.000246363,0.000246363
29,783.479,1.63065,1.53922,1.31151,0.46776,0.56675,0.51196,0.24434,1.8585,1.57575,1.4378,0.000214046,0.000214046,0.000214046
30,810.439,1.63247,1.52356,1.31175,0.45901,0.5616,0.50282,0.23917,1.85936,1.59524,1.45522,0.000183523,0.000183523,0.000183523
31,837.331,1.62118,1.40414,1.34137,0.47807,0.56329,0.50467,0.24134,1.85783,1.60199,1.4375,0.000154982,0.000154982,0.000154982
32,863.186,1.6132,1.38923,1.33966,0.48014,0.55026,0.50334,0.23789,1.85742,1.59583,1.44364,0.000128599,0.000128599,0.000128599
33,889.65,1.60154,1.38317,1.33966,0.48088,0.57085,0.5098,0.24053,1.88178,1.56257,1.46329,0.000104537,0.000104537,0.000104537
34,915.548,1.59701,1.36743,1.34023,0.47061,0.55515,0.50059,0.23611,1.88098,1.60796,1.45737,8.29431e-05,8.29431e-05,8.29431e-05
35,941.922,1.58271,1.36176,1.33445,0.47622,0.55358,0.50584,0.23868,1.87636,1.59749,1.45988,6.39518e-05,6.39518e-05,6.39518e-05
36,968.442,1.57984,1.34891,1.3267,0.47244,0.56766,0.50351,0.2364,1.87757,1.6034,1.46218,4.76796e-05,4.76796e-05,4.76796e-05
37,994.427,1.57953,1.3397,1.33183,0.46646,0.5695,0.50403,0.23788,1.87633,1.58417,1.46754,3.4227e-05,3.4227e-05,3.4227e-05
38,1021.01,1.57987,1.34639,1.33106,0.47622,0.55848,0.50371,0.23874,1.87017,1.59425,1.46199,2.36769e-05,2.36769e-05,2.36769e-05
39,1047.48,1.57834,1.33663,1.32886,0.47361,0.56907,0.50375,0.2376,1.88027,1.59053,1.46694,1.60943e-05,1.60943e-05,1.60943e-05
40,1074.04,1.57521,1.33323,1.32607,0.47151,0.56794,0.50146,0.23677,1.8757,1.59837,1.46413,1.15259e-05,1.15259e-05,1.15259e-05
