epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.2984,1.94469,2.2943,1.82019,0.40202,0.49155,0.41057,0.18421,1.94878,2.17409,1.84794,0.000331407,0.000331407,0.0671908
2,89.6395,1.8268,1.89653,1.70193,0.37008,0.55349,0.43656,0.18166,1.99764,2.0063,1.84457,0.000663726,0.000663726,0.0341897
3,133.29,1.80287,1.82964,1.67379,0.44086,0.55718,0.47112,0.20264,1.99978,1.80282,1.80765,0.000991991,0.000991991,0.00118467
4,176.916,1.79036,1.79493,1.66812,0.4365,0.51246,0.42093,0.18546,1.95484,1.78779,1.76478,0.000986323,0.000986323,0.000986323
5,220.845,1.77225,1.79357,1.67016,0.44347,0.54931,0.43864,0.19008,2.01033,1.84536,1.78589,0.000975773,0.000975773,0.000975773
6,264.474,1.76057,1.73629,1.66033,0.43023,0.56406,0.47544,0.20829,1.96088,1.75456,1.7631,0.00096232,0.00096232,0.00096232
7,308.354,1.74713,1.71867,1.64376,0.43749,0.61298,0.49342,0.21655,1.95702,1.68672,1.77664,0.000946048,0.000946048,0.000946048
8,352.199,1.74604,1.70815,1.63871,0.45645,0.54839,0.47379,0.20828,1.89842,1.70923,1.75066,0.000927057,0.000927057,0.000927057
9,396.113,1.73352,1.67411,1.63009,0.47046,0.58711,0.50548,0.23114,1.8933,1.64841,1.71337,0.000905463,0.000905463,0.000905463
10,440.185,1.72086,1.64514,1.61628,0.48727,0.5876,0.51685,0.23932,1.87685,1.59377,1.70891,0.000881401,0.000881401,0.000881401
11,483.875,1.71195,1.66167,1.62637,0.47955,0.59008,0.52459,0.24342,1.8862,1.55933,1.70654,0.000855018,0.000855018,0.000855018
12,527.555,1.70833,1.63763,1.60908,0.48989,0.56754,0.51109,0.23401,1.89454,1.60678,1.71594,0.000826477,0.000826477,0.000826477
13,571.309,1.70479,1.61166,1.60188,0.48055,0.59568,0.51983,0.24231,1.86523,1.59807,1.68376,0.000795954,0.000795954,0.000795954
14,615.142,1.70105,1.58986,1.60708,0.47092,0.60664,0.51679,0.24557,1.84676,1.57793,1.66917,0.000763637,0.000763637,0.000763637
15,659.105,1.67415,1.58509,1.58017,0.47314,0.62859,0.52305,0.24226,1.89229,1.57186,1.71847,0.000729725,0.000729725,0.000729725
16,702.769,1.67466,1.56897,1.58792,0.49194,0.59526,0.52787,0.2467,1.88205,1.54415,1.71023,0.000694428,0.000694428,0.000694428
17,746.705,1.66481,1.56439,1.58471,0.48354,0.59256,0.513,0.24177,1.84125,1.5796,1.67137,0.000657963,0.000657963,0.000657963
18,790.811,1.66266,1.55335,1.57775,0.49278,0.57608,0.52709,0.24792,1.87788,1.56121,1.68058,0.000620555,0.000620555,0.000620555
19,834.545,1.64664,1.53627,1.55487,0.52111,0.60871,0.53473,0.25527,1.85243,1.53275,1.67863,0.000582435,0.000582435,0.000582435
20,878.255,1.64403,1.53564,1.56408,0.4969,0.59658,0.53,0.25014,1.85916,1.55985,1.70989,0.000543837,0.000543837,0.000543837
21,921.777,1.63688,1.51454,1.55475,0.51267,0.56716,0.52661,0.25401,1.8325,1.57954,1.67312,0.000505,0.000505,0.000505
22,965.26,1.63727,1.49718,1.56402,0.47103,0.62284,0.53443,0.25312,1.85406,1.52922,1.68995,0.000466163,0.000466163,0.000466163
23,1009.56,1.62589,1.49063,1.54845,0.4689,0.59205,0.5212,0.24959,1.82978,1.59308,1.69546,0.000427565,0.000427565,0.000427565
24,1053.31,1.61747,1.48264,1.54035,0.4977,0.56775,0.51872,0.25227,1.83076,1.56291,1.69737,0.000389445,0.000389445,0.000389445
25,1096.82,1.62022,1.47149,1.55137,0.49883,0.57786,0.52729,0.24328,1.89498,1.54236,1.72113,0.000352037,0.000352037,0.000352037
26,1140.71,1.60904,1.47803,1.54526,0.49737,0.59236,0.53389,0.2598,1.81891,1.54642,1.68114,0.000315572,0.000315572,0.000315572
27,1184.91,1.59756,1.45357,1.53799,0.49539,0.60487,0.53268,0.25626,1.83502,1.51336,1.68198,0.000280275,0.000280275,0.000280275
28,1228.31,1.59401,1.44048,1.53364,0.52656,0.59883,0.54019,0.2604,1.84452,1.52079,1.69831,0.000246363,0.000246363,0.000246363
29,1271.82,1.57523,1.42736,1.52537,0.4962,0.60559,0.53902,0.25876,1.83931,1.51827,1.68658,0.000214046,0.000214046,0.000214046
30,1314.95,1.58363,1.41471,1.52858,0.51174,0.58919,0.53598,0.25989,1.83694,1.52685,1.68503,0.000183523,0.000183523,0.000183523
31,1358.74,1.57648,1.37104,1.58954,0.53292,0.59885,0.53978,0.25692,1.86534,1.53159,1.7075,0.000154982,0.000154982,0.000154982
32,1401.61,1.56351,1.35922,1.58454,0.50494,0.59617,0.53723,0.25847,1.83237,1.52739,1.68145,0.000128599,0.000128599,0.000128599
33,1444.73,1.55415,1.33741,1.57865,0.53006,0.60491,0.54709,0.26394,1.84259,1.49138,1.68545,0.000104537,0.000104537,0.000104537
34,1488.46,1.5451,1.31986,1.57288,0.50778,0.60883,0.54441,0.25903,1.85736,1.48705,1.68981,8.29431e-05,8.29431e-05,8.29431e-05
35,1531.43,1.53929,1.30523,1.56963,0.52264,0.59254,0.54568,0.26248,1.84384,1.4948,1.69192,6.39518e-05,6.39518e-05,6.39518e-05
